Class,Knowledge,Enthusiasm,Organization,Preparedness,Explain Concepts,Speaking Ability,Encourage Discussion,Effectiveness of Eg.,Rating
Spring 16,4.181818182,4.3,4.363636364,4.272727273,3.909090909,4.222222222,4,4.272727273,BA
Fall 16,4.4,4.65,4.1,4.2,3.85,4.3,4.210526316,3.75,BA
Spring 18,4.181818182,4.8,4.9,4.6,4.6,4.8,4.4,4.6,AA
Fall 18,4.722222222,4.722222222,4.5,4.555555556,4.388888889,4.5,4.666666667,4.555555556,AA
Fall 19,5,4.947368421,4.842105263,4.789473684,4.789473684,4.842105263,5,4.894736842,E
